Unnamed: 0,review_id,user_id,time,rating,text,pics_collapsed,resp_collapsed,name,description,category,url,image,is_image_ad,is_image_irrelevant,is_text_ad,is_text_irrelevant,is_text_rant,is_review_ad,is_review_irrelevant,helpfulness,sensibility
4109,4109,101633636831212744917,1561410000000.0,1,I heard they're under new ownership. Previous owners were awful!,[],,TV Nails & Spa,,['Nail salon'],https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e0966372aecb4f:0x7b013a700f43ec8b?authuser=-1&hl=en&gl=us,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrzdMv2sV1eiwLI0q3ej3hyLq-Q0FjtQNw0hZBd5d4-6FD5vALncukxv3wlNfoViQd567LWULRmbtUndVnr2Lnw5gOYd0H-GmeAwNqKVsdUqhgMlM-ox3PvxnzXnb90_RqOSmDi=w408-h544-k-no,False,False,False,False,True,False,False,not_helpful,True
4582,4582,103630611883191613783,1604880000000.0,1,"I have heard so many heartbreaking stories about Dr. Angell that I just have to say: if you love your pets, take them anywhere else in the area.",[],,Gateway Veterinary Clinic,,['Veterinarian'],https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e11a346fd8cecf:0x5359386dc4f5170a?authuser=-1&hl=en&gl=us,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noWbqR4duh9Re0dWIK8wZ1AiRKPPbmsjPgTgbFHHFKnyJrJeQP0mrbr5CNq1x0OVrY2cNd097JkdsR2pAR87wGdv9Qp1B2z30R9OaT0hk_temFA9xcm5Y3p33aNndlI3j-NxVI=w408-h306-k-no,False,False,False,True,True,False,False,not_helpful,True
15626,15626,110148510806321844605,1522860000000.0,1,"I am NOT a Hometown Customer and NEVER will be, because I've heard enough negative experiences from people that have taken there business there. Everyone of which, no longer is a customer as well.",[],"Tim, that is good news that you are not a customer and never will be. thank you!","HomeTown Tire & Auto Service, Inc.",,"['Auto repair shop', 'Tire shop']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x4cca79ae2888e3d3:0xaa4e73160716f58d?authuser=-1&hl=en&gl=us,https://lh3.googleusercontent.com/p/AF1QipO7iVlZNHnVLqcDW15ta_8dYsN0BwoqqwZ0kODa=w408-h306-k-no,False,False,False,False,True,False,False,not_helpful,True
18953,18953,106700614250668494077,1615670000000.0,3,The deli was not open. I had heard good things. Closed because of covid-19 exposure.,[],,The Mill Market & Deli,,"['Market', 'Bakery', 'Beer store', 'Caterer', 'Cider mill', 'Gourmet grocery store', 'Ice cream shop', 'Pie shop', 'Sandwich shop', 'Wine store']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x4cca794cd631fedf:0x4ab5e36018b21394?authuser=-1&hl=en&gl=us,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrAlAqlTYVEqEkpQG_zWZpE-BqliDq6MAptm-Zm3wfMa5dTtE5zP6CwS4AtMSfhckSCqvJi4IvvhJlS7tyT3jDY3jNm5qKXeWev7dUwJB3m9ULcZ5BR4jjwx2gVsuvsh31VzzlXAg=w408-h240-k-no-pi-0.9304578-ya41.805313-ro-0.84876776-fo100,False,False,False,False,True,False,False,not_helpful,True
19596,19596,113566953858958129722,1530290000000.0,4,Only there for a short period. Didnt have the greatest service so only 4 stars for now. I will re-rate when I try their food which I heard is great.,[],,ArtsRiot,"Hip performance venue, gallery & cafe features New American eats, plus craft cocktails & local beer.","['Restaurant', 'Bar', 'Live music venue']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x4cca7a55608a19bf:0xbc56942d44a31935?authuser=-1&hl=en&gl=ae,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noQGdZ9WJlM3lQub5p5897XyqcIFrrYvKjWDTR9i2rljwGH-iia46skf9dq6Zsr8DijZVj93L-TH7yeXZVDYFV4JPEcllcE6efJF_48w0uRkhOc7yUwvFOqsvd3K2ytLmFEjeHH=w408-h544-k-no,False,False,False,False,True,False,False,helpful,True
22458,22458,105640084848115980784,1583510000000.0,3,First three stars because I have not yet used this service but co-worker and friends have. I have always heard great things. So before judgement on any business or people explore yourself and make decisions for yourself. There has been some commotion about this business that is unfortunate but it doesn't define how my experience will be. Just stay proud Matt's Wash & Wax and you will not need to defend your business it will speak for itself with hard work and doing what you do. Things will work out. Have a good day.,[],Thanks Sadie for your message. I can't thank you enough and look forward to earning your business in the near future. Many thanks!,Matt's Wash & Wax,,"['Car detailing service', 'Boat detailing service', 'Car wash', 'Carpet cleaning service', 'RV detailing service']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x4cb589ab4751cd6b:0x292a3a0bdcf76893?authuser=-1&hl=en&gl=us,https://lh3.googleusercontent.com/p/AF1QipNH-6NDZfeuC4qas8FyYgU04HH-AK1C3vHOcbbW=w429-h240-k-no,False,False,False,False,True,False,False,not_helpful,True
42456,42456,114526335994242613012,1539310000000.0,1,I thought about getting this service for the price but from what I've heard I could never deal with horrible customer service,[],Hi Jozhua - we would love the opportunity to reach out and discuss our services further with you. Please email us at social@consolidated.com. Thank you!,Consolidated Communications,,"['Internet service provider', 'Service establishment', 'Telecommunications service provider']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x4cca796e7f9a3747:0x4d2cedb7c9c8575?authuser=-1&hl=en&gl=us,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no-YMS8bR6YtgIB2JMSgWAiPEA9V6MS45wQ_DrGt418rERuYebJL6Q_UVtI3qC4RENMNv8AeDmK2O30uEJmH8XIadJHGcVIf0v5ey6cEJ7MYvsvHPmW9-z-_Dd4BG7PCYvVgUU=w408-h544-k-no,False,False,False,False,True,False,False,not_helpful,True
74191,74191,101274940340560291033,1530150000000.0,2,I heard they make great food.....Never been there.....,[],,The Quarry Kitchen & Spirits,,['Restaurant'],https://www.google.com/maps/place//data=!4m2!3m1!1s0x4cb506db084f264f:0xe548d06bcb8985cf?authuser=-1&hl=en&gl=us,https://lh3.googleusercontent.com/p/AF1QipOrNNsYMcbV_PKjvzVtPlMt-m61my39zhWS-Mf2=w408-h272-k-no,False,False,False,False,True,False,False,not_helpful,True
218502,218502,112922967122153319652,1560630000000.0,1,Didn't go there never heard anything good about it. Only thing is it's cheap according to people I talk about it.,[],,Essex Junction Grand Buffet,"Basic choice for all-you-can-eat Chinese food, plus sushi & dessert, in casual strip-mall surrounds.","['Buffet restaurant', 'Asian restaurant', 'Restaurant', 'Seafood restaurant', 'Sushi restaurant']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x4cca7760f91fff05:0x35ef5e2fbacdfece?authuser=-1&hl=en&gl=us,https://lh3.googleusercontent.com/p/AF1QipOeOiK-VGZqiZtCVjuWR3ZVJE_qa5CUTO20AanI=w408-h413-k-no,False,False,False,False,True,False,False,not_helpful,True
201507,201507,108417042890661793158,1595360000000.0,1,Hated because of the people who are allowed to drink alcohol and they get loud using foul language that can be heard from a distance also there is a large tree that is blocking the view of the lake and sunsets in my opinion it should be taken down and people who are leaving trash should be ticketed.,[],,Battery Park,"Historic park featuring a playground, summer concerts, ice-skating & views of Lake Champlain.","['Park', 'Tourist attraction']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x4cca7af0347bca5d:0xea2e35a3920a8564?authuser=-1&hl=en&gl=us,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr-KNrK-qb-PHKl2JRA4uamt9GwoUZCx2gE-RFZgryt_jBBWraxXMxAjn8APWyYOutDaNrdiy_V4-90itq2jULnddnoNm754LsRlZC3s10ef1SKmc1R7G0Eec47O9EPWZH0T8xC=w408-h306-k-no,False,False,False,False,False,False,False,helpful,True
