url,image,category
https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e1ae87433cb327:0x77099e74c05605a0?authuser=-1&hl=en&gl=us,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no6TiFPpCZ6GEJ1Zjq8dmAx6qsjSsZ0UzqOiAfTXC5vNloE62FzpW7rHK5b--M1s2dplp_E2Klvc8ECkTELP-n_UJ6QUmnwDKEEUxibSyTsKOTOR7bb4e8fHeru4cb-uyzB2C-nK7k-4Clr=w408-h506-k-no,"['Historical society', 'Gift shop', 'History museum', 'Local history museum', 'Museum', 'Tourist attraction']"
"https://www.google.com/maps/place/Orwell,+VT+05760/data=!4m2!3m1!1s0x4cb55254c6512669:0xd6392410a49836a1?authuser=-1&hl=en&gl=us",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nranyajrO2xenCvYndOoe_XQJow299u0NuGRtdwNgl0f-ja8-DbXv1dD38toH6i8TWp_SUNQM2kO1LqkX6tmuzbN_k6pHaoVpNhkrZUwoWhu5BBQLkKH8AD2FzREWcl2ylaFogdcQ=w408-h725-k-no,['River']
"https://www.google.com/maps/place/Morristown,+VT+05661/data=!4m2!3m1!1s0x4cb592c1b724a89f:0x20450e1ceaa51dd6?authuser=-1&hl=en&gl=us",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrDDCT76eEOpI8CsrGWAY-p7N37sVROQ-GX03SMJLNt_ch5F6U1b85k4X6yaBtkr3gwoeyqpvHYgbFbA0cJvsbpcL4fBLgEMb0_z_yHmgMRIGzZKHRoJNNyZdeYeXImIpz9Sxwp9A=w408-h306-k-no,['Mountain pass']
https://www.google.com/maps/place//data=!4m2!3m1!1s0x4cca7b8209f7ac31:0x2b4f608060745a93?authuser=-1&hl=en&gl=us,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqt30Txdv1hhRrOKA1Ktw2nbfmra7lLUHaBSyFQeAs4Hwobiuu32Spaeke71eL7SWkG4a28Em5qNRdq_O5zmEkl6zLpiaPf8gc3r9ELBF4um0vWqXTtkcSW3k8xM-k-WoLjZ8o2vA=w408-h725-k-no,['Bike sharing station']
https://www.google.com/maps/place//data=!4m2!3m1!1s0x4cb4fdb37daaad41:0x20fe60e48c1dafe8?authuser=-1&hl=en&gl=us,,[]
"https://www.google.com/maps/place/South+Burlington,+VT+05403/data=!4m2!3m1!1s0x4cca7a124126368b:0x6b3f2e8550d51e1d?authuser=-1&hl=en&gl=us",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nryRNS6ZeBsERoAA_ptW3LkgDB-qR9boF2DuqQaVZyBIOrrDgbkHI0Y2v5tRR7nmzF7T12u-wggF6BhO5Jmp82zrKFu9bHTZ8HOB--1qIsMKZNPZAG4ZvsBe_k-OaU5VK6QKgnJGA=w408-h306-k-no,['Ravine']
https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e1cac99813a1c9:0x4e1cda0ed7d62df2?authuser=-1&hl=en&gl=us,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cQU14TI_MYdRxQFr7Y8M-Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=321.64423&pitch=0&thumbfov=100,['Snowboard shop']
https://www.google.com/maps/place//data=!4m2!3m1!1s0x89dfcfb79865b599:0xff74554b8c9426a3?authuser=-1&hl=en&gl=us,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noPdLfC5PGx3S2r2euui1Ziypl2XFsQme1QCMgUEo7l_Uhq4XzxuCvyjL_3hUI77YhK0I8_6OQ6XW1UmxcDQTkAnpoixCAfoh7ddK1TPEvJp2t2bmFC0eawa_mj4FAcu_nn5oQ=w426-h240-k-no,"['Tourist information center', 'Bus charter', 'Bus company', 'Service establishment', 'Tour agency']"
https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e024f156247535:0x83756dda6be4345?authuser=-1&hl=en&gl=us,,"['Senior citizen center', 'Nursing home']"
https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e02370dc2b296b:0xa495a7691bc31266?authuser=-1&hl=en&gl=us,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=K-zBZR2dRYpcQKO16JG5hg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=190.05606&pitch=0&thumbfov=100,['Government office']
